State,District,Latitude,Longitude,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,sex_ratio,literacy_rate,male_literacy,female_literacy
Rajasthan,Kota,25.175718080000014,76.18618928000001,1951014,1021161,929853,1661307,243993,5665,11058,280,25742,286,203454,311735,911.0,67.0,75.0,57.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,3307743,1696325,1611418,2833443,454487,1912,366,163,12940,276,675712,166489,950.0,53.0,65.0,41.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,2037573,1025422,1012151,1870543,143476,1345,1540,141,18974,52,512909,139808,987.0,53.0,65.0,41.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,1156597,581339,575258,1105676,33677,759,260,100,14966,68,304622,61054,990.0,54.0,66.0,41.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1335551,704031,631520,1165505,155681,945,812,177,9991,42,282057,71264,897.0,56.0,69.0,40.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,2677333,1374990,1302343,2342076,327583,1122,356,177,4050,15,527560,178274,947.0,62.0,72.0,50.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,1036346,534231,502115,996562,30479,1284,572,114,6829,56,238535,69639,940.0,46.0,58.0,33.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,1421326,728136,693190,1243527,153146,754,378,122,22458,30,298911,81755,952.0,53.0,66.0,39.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,3068420,1566801,1501619,2869976,104307,7406,4278,209,78647,373,665449,182769,958.0,52.0,62.0,41.0
Sikkim,East,27.29600352941175,88.74908392156858,1709346,907500,801846,1410852,178807,15792,53027,2643,46927,366,1086,461132,884.0,79.0,82.0,75.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,754894,374703,380191,708397,7942,37403,104,88,65,42,223955,30322,1015.0,64.0,72.0,56.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,4646732,2335844,2310888,3751322,439270,358662,2851,2804,51708,1759,0,1314125,989.0,81.0,84.0,78.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,3458045,1729297,1728748,3044145,211035,190314,1112,435,3284,237,284795,884957,1000.0,76.0,81.0,72.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,2605914,1311697,1294217,2391675,123749,83334,401,236,1280,138,497429,260780,987.0,70.0,76.0,63.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,1506843,774303,732540,1452956,38304,14089,164,39,37,87,396819,91107,946.0,61.0,68.0,53.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,2159775,1080938,1078837,1879494,105012,169945,313,256,71,138,443818,269724,998.0,69.0,76.0,62.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,2251744,1129868,1121876,2115455,76098,55899,435,148,639,157,411286,432398,993.0,66.0,73.0,59.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,3998252,2012958,1985294,3537399,173785,256762,1620,990,4962,756,438799,774705,986.0,75.0,80.0,71.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,1870374,926345,944029,909872,78590,876299,160,438,156,10,104253,493788,1019.0,83.0,84.0,81.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,1064493,528184,536309,993666,53292,16483,115,29,7,79,212241,152420,1015.0,68.0,76.0,61.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,3038252,1526475,1511777,2760502,168881,97711,520,199,1532,305,417718,592723,990.0,75.0,80.0,69.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,1616450,798127,818323,1435072,128617,47579,184,450,963,110,399016,118724,1025.0,75.0,80.0,70.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,1726601,869280,857321,1673652,32483,16909,183,108,84,199,370357,257127,986.0,68.0,75.0,61.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,565223,282157,283066,521658,32702,10301,83,39,38,26,155413,33179,1003.0,66.0,74.0,59.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1618345,803188,815157,1428784,114194,72850,119,81,32,293,399712,104229,1015.0,69.0,76.0,62.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,1353445,682658,670787,1047411,208038,91139,154,86,29,36,290478,126761,983.0,72.0,79.0,66.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,3482056,1781571,1700485,3326357,95487,53841,412,174,992,246,572813,597539,954.0,66.0,72.0,59.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,1339101,668672,670429,1186078,74310,75481,150,80,109,24,309224,143193,1003.0,72.0,79.0,65.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,2405890,1182416,1223474,2075870,190814,133971,231,795,1256,148,479070,274302,1035.0,74.0,80.0,69.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,1245899,625683,620216,1148990,56751,37574,152,79,28,74,189328,221295,991.0,70.0,77.0,63.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,3728104,1876062,1852042,3325823,143093,233633,1422,951,3693,530,387237,732196,987.0,75.0,80.0,70.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,1264277,626693,637584,1132785,96092,33192,258,151,279,64,321331,86848,1017.0,75.0,80.0,70.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,2464875,1235889,1228986,2294369,91636,66987,232,157,7898,110,563102,147061,994.0,66.0,74.0,58.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,3936331,1961688,1974643,3397857,414760,111390,676,438,3514,251,653499,486801,1007.0,70.0,77.0,64.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1942288,967709,974579,1822626,47838,67405,245,87,98,75,363782,370942,1007.0,72.0,79.0,66.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,378230,194544,183686,307120,8256,22940,175,39120,85,206,89457,14071,944.0,73.0,78.0,68.0
